reported_name,accepted_name,species_name
Chamaecrista_glandulosa,Chamaecrista_glandulosa,Chamaecrista_glandulosa
Chamaecrista_glandulosa_var_andicola,Chamaecrista_glandulosa_var_andicola,Chamaecrista_glandulosa
Chamaecrista_glandulosa_var_andreana,Chamaecrista_glandulosa_var_andreana,Chamaecrista_glandulosa
Chamaecrista_andreana,Chamaecrista_glandulosa_var_andreana,Chamaecrista_glandulosa
Chamaecrista_pennellii,Chamaecrista_glandulosa_var_andreana,Chamaecrista_glandulosa
Chamaecrista_glandulosa_var_balsasana,Chamaecrista_glandulosa_var_balsasana,Chamaecrista_glandulosa
Chamaecrista_glandulosa_var_brasiliensis,Chamaecrista_glandulosa_var_brasiliensis,Chamaecrista_glandulosa
Chamaecrista_baileyorum,Chamaecrista_glandulosa_var_brasiliensis,Chamaecrista_glandulosa
Chamaecrista_glandulosa_var_crystallina,Chamaecrista_glandulosa_var_crystallina,Chamaecrista_glandulosa
Chamaecrista_glandulosa_var_flavicoma,Chamaecrista_glandulosa_var_flavicoma,Chamaecrista_glandulosa
Chamaecrista_arborescens,Chamaecrista_glandulosa_var_flavicoma,Chamaecrista_glandulosa
Chamaecrista_dendrina,Chamaecrista_glandulosa_var_flavicoma,Chamaecrista_glandulosa
Chamaecrista_flavicoma,Chamaecrista_glandulosa_var_flavicoma,Chamaecrista_glandulosa
Chamaecrista_yucatana,Chamaecrista_glandulosa_var_flavicoma,Chamaecrista_glandulosa
Chamaecrista_glandulosa_var_glandulosa,Chamaecrista_glandulosa_var_glandulosa,Chamaecrista_glandulosa
Chamaecrista_cowellii,Chamaecrista_glandulosa_var_glandulosa,Chamaecrista_glandulosa
Chamaecrista_glandulosa_var_ramosa,Chamaecrista_glandulosa_var_glandulosa,Chamaecrista_glandulosa
Chamaecrista_virgata,Chamaecrista_glandulosa_var_glandulosa,Chamaecrista_glandulosa
Chamaecrista_glandulosa_var_mirabilis,Chamaecrista_glandulosa_var_mirabilis,Chamaecrista_glandulosa
Chamaecrista_mirabilis,Chamaecrista_glandulosa_var_mirabilis,Chamaecrista_glandulosa
Chamaecrista_glandulosa_var_parralensis,Chamaecrista_glandulosa_var_parralensis,Chamaecrista_glandulosa
Chamaecrista_goldmanii,Chamaecrista_glandulosa_var_parralensis,Chamaecrista_glandulosa
Chamaecrista_glandulosa_var_pinetorum,Chamaecrista_glandulosa_var_pinetorum,Chamaecrista_glandulosa
Chamaecrista_cahosiana_,Chamaecrista_glandulosa_var_pinetorum,Chamaecrista_glandulosa
Chamaecrista_glandulosa_var_picardae,Chamaecrista_glandulosa_var_pinetorum,Chamaecrista_glandulosa
